"","Run","assay_type","AvgSpotLen","BioSample","Experiment","sample_name","tissue","Strain","title","description"
"SRR12893030","SRR12893030","RNA-Seq",51,"SAMN16543967","SRX9357797","GSM4856384","Kidney glomerulus","C57BL/6J","811s_A23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893031","SRR12893031","RNA-Seq",51,"SAMN16543966","SRX9357798","GSM4856385","Kidney glomerulus","C57BL/6J","298s_A3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893032","SRR12893032","RNA-Seq",51,"SAMN16543965","SRX9357799","GSM4856386","Kidney glomerulus","C57BL/6J","682s_L18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893033","SRR12893033","RNA-Seq",51,"SAMN16543964","SRX9357800","GSM4856387","Kidney glomerulus","C57BL/6J","813s_O1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893034","SRR12893034","RNA-Seq",51,"SAMN16543963","SRX9357801","GSM4856388","Kidney glomerulus","C57BL/6J","812s_E7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893035","SRR12893035","RNA-Seq",51,"SAMN16543962","SRX9357802","GSM4856389","Kidney glomerulus","C57BL/6J","555s_A2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893036","SRR12893036","RNA-Seq",51,"SAMN16543961","SRX9357803","GSM4856390","Kidney glomerulus","C57BL/6J","682s_P13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893037","SRR12893037","RNA-Seq",51,"SAMN16543960","SRX9357804","GSM4856391","Kidney glomerulus","C57BL/6J","196s_J2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893038","SRR12893038","RNA-Seq",51,"SAMN16544065","SRX9357869","GSM4856392","Kidney glomerulus","C57BL/6J","294s_I4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893039","SRR12893039","RNA-Seq",51,"SAMN16544064","SRX9357870","GSM4856393","Kidney glomerulus","C57BL/6J","299s_D18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893040","SRR12893040","RNA-Seq",51,"SAMN16544063","SRX9357871","GSM4856394","Kidney glomerulus","C57BL/6J","299s_H20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893041","SRR12893041","RNA-Seq",51,"SAMN16544060","SRX9357872","GSM4856395","Kidney glomerulus","C57BL/6J","813s_N4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893042","SRR12893042","RNA-Seq",51,"SAMN16544062","SRX9357873","GSM4856396","Kidney glomerulus","C57BL/6J","811s_M16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893043","SRR12893043","RNA-Seq",51,"SAMN16544061","SRX9357874","GSM4856397","Kidney glomerulus","C57BL/6J","299s_I14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893044","SRR12893044","RNA-Seq",51,"SAMN16544059","SRX9357875","GSM4856398","Kidney glomerulus","C57BL/6J","299s_D11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893045","SRR12893045","RNA-Seq",51,"SAMN16544058","SRX9357876","GSM4856399","Kidney glomerulus","C57BL/6J","298s_F15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893046","SRR12893046","RNA-Seq",51,"SAMN16544057","SRX9357877","GSM4856400","Kidney glomerulus","C57BL/6J","814s_E1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893047","SRR12893047","RNA-Seq",51,"SAMN16544056","SRX9357878","GSM4856401","Kidney glomerulus","C57BL/6J","555s_P11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893048","SRR12893048","RNA-Seq",51,"SAMN16544055","SRX9357879","GSM4856402","Kidney glomerulus","C57BL/6J","121s_M13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893049","SRR12893049","RNA-Seq",51,"SAMN16544054","SRX9357880","GSM4856403","Kidney glomerulus","C57BL/6J","811s_G3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893050","SRR12893050","RNA-Seq",51,"SAMN16544053","SRX9357881","GSM4856404","Kidney glomerulus","C57BL/6J","682s_I3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893051","SRR12893051","RNA-Seq",51,"SAMN16544052","SRX9357882","GSM4856405","Kidney glomerulus","C57BL/6J","196s_N11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893052","SRR12893052","RNA-Seq",51,"SAMN16544051","SRX9357883","GSM4856406","Kidney glomerulus","C57BL/6J","299s_I13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893053","SRR12893053","RNA-Seq",51,"SAMN16544050","SRX9357884","GSM4856407","Kidney glomerulus","C57BL/6J","812s_B15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893054","SRR12893054","RNA-Seq",51,"SAMN16544049","SRX9358052","GSM4856408","Kidney glomerulus","C57BL/6J","812s_L12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893055","SRR12893055","RNA-Seq",51,"SAMN16544048","SRX9358053","GSM4856409","Kidney glomerulus","C57BL/6J","682s_I8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893056","SRR12893056","RNA-Seq",51,"SAMN16544047","SRX9358054","GSM4856410","Kidney glomerulus","C57BL/6J","812s_F21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893057","SRR12893057","RNA-Seq",51,"SAMN16543929","SRX9358055","GSM4856411","Kidney glomerulus","C57BL/6J","812s_L8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893058","SRR12893058","RNA-Seq",51,"SAMN16543928","SRX9358056","GSM4856412","Kidney glomerulus","C57BL/6J","294s_K16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893059","SRR12893059","RNA-Seq",51,"SAMN16543927","SRX9358057","GSM4856413","Kidney glomerulus","C57BL/6J","294s_O17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893060","SRR12893060","RNA-Seq",51,"SAMN16543926","SRX9358058","GSM4856414","Kidney glomerulus","C57BL/6J","812s_D7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893061","SRR12893061","RNA-Seq",51,"SAMN16543925","SRX9358059","GSM4856415","Kidney glomerulus","C57BL/6J","811s_L23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893062","SRR12893062","RNA-Seq",51,"SAMN16543924","SRX9358060","GSM4856416","Kidney glomerulus","C57BL/6J","682s_M18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893063","SRR12893063","RNA-Seq",51,"SAMN16543923","SRX9358061","GSM4856417","Kidney glomerulus","C57BL/6J","811s_D22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893064","SRR12893064","RNA-Seq",51,"SAMN16543922","SRX9358062","GSM4856418","Kidney glomerulus","C57BL/6J","299s_C5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893065","SRR12893065","RNA-Seq",51,"SAMN16543921","SRX9358063","GSM4856419","Kidney glomerulus","C57BL/6J","813s_P21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893066","SRR12893066","RNA-Seq",51,"SAMN16543920","SRX9358064","GSM4856420","Kidney glomerulus","C57BL/6J","811s_D1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893067","SRR12893067","RNA-Seq",51,"SAMN16543919","SRX9358065","GSM4856421","Kidney glomerulus","C57BL/6J","298s_I3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893068","SRR12893068","RNA-Seq",51,"SAMN16543918","SRX9358066","GSM4856422","Kidney glomerulus","C57BL/6J","294s_A11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12893069","SRR12893069","RNA-Seq",51,"SAMN16543917","SRX9358067","GSM4856423","Kidney glomerulus","C57BL/6J","682s_F12","mouse_glom_single_cell_unbiased_rpkms.txt"
